Month,Fish_Weight,Survival_Rate,Age_Months,Temperature,Dissolved_Oxygen,pH,Salinity (ppt)
January,275.82,95.27,2.0,27.47,6.34,7.98,1.94
January,275.82,95.27,2.0,27.47,6.34,7.98,4.76
January,275.82,95.27,2.0,27.47,6.34,7.98,3.69
January,275.82,95.27,2.0,27.47,6.34,7.98,3.03
January,275.82,95.27,2.0,27.47,6.34,7.98,0.86
January,275.82,95.27,2.0,27.47,6.34,7.98,0.86
January,275.82,95.27,2.0,27.47,6.34,7.98,0.38
January,275.82,95.27,2.0,27.47,6.34,7.98,4.34
January,275.82,95.27,2.0,27.47,6.34,7.98,3.05
January,275.82,95.27,2.0,27.47,6.34,7.98,3.57
January,275.82,95.27,2.0,27.47,6.34,7.98,0.2
January,275.82,95.27,2.0,27.47,6.34,7.98,4.85
January,275.82,95.27,2.0,27.47,6.34,7.98,4.18
January,275.82,95.27,2.0,27.47,6.34,7.98,1.14
January,275.82,95.27,2.0,27.47,6.34,7.98,0.99
January,275.82,95.27,2.0,27.47,6.34,7.98,1.0
January,275.82,95.27,2.0,27.47,6.34,7.98,1.59
January,275.82,95.27,2.0,27.47,6.34,7.98,2.67
January,275.82,95.27,2.0,27.47,6.34,7.98,2.22
January,275.82,95.27,2.0,27.47,6.34,7.98,1.53
January,275.82,95.27,2.0,27.47,6.34,7.98,3.1
January,275.82,95.27,2.0,27.47,6.34,7.98,0.78
January,275.82,95.27,2.0,27.47,6.34,7.98,1.53
January,275.82,95.27,2.0,27.47,6.34,7.98,1.9
January,275.82,95.27,2.0,27.47,6.34,7.98,2.33
January,275.82,95.27,2.0,27.47,6.34,7.98,3.95
January,275.82,95.27,2.0,27.47,6.34,7.98,1.08
January,275.82,95.27,2.0,27.47,6.34,7.98,2.62
January,275.82,95.27,2.0,27.47,6.34,7.98,3.0
January,275.82,95.27,2.0,27.47,6.34,7.98,0.33
January,275.82,95.27,2.0,27.47,6.34,7.98,3.08
January,275.82,95.27,2.0,27.47,6.34,7.98,0.94
January,275.82,95.27,2.0,27.47,6.34,7.98,0.42
January,275.82,95.27,2.0,27.47,6.34,7.98,4.75
January,275.82,95.27,2.0,27.47,6.34,7.98,4.83
January,275.82,95.27,2.0,27.47,6.34,7.98,4.06
January,275.82,95.27,2.0,27.47,6.34,7.98,1.59
January,275.82,95.27,2.0,27.47,6.34,7.98,0.58
January,275.82,95.27,2.0,27.47,6.34,7.98,3.45
January,275.82,95.27,2.0,27.47,6.34,7.98,2.26
January,275.82,95.27,2.0,27.47,6.34,7.98,0.7
January,275.82,95.27,2.0,27.47,6.34,7.98,2.53
January,275.82,95.27,2.0,27.47,6.34,7.98,0.27
January,275.82,95.27,2.0,27.47,6.34,7.98,4.56
